date,actual,seasonal_naive,gradient_boosting
2018-10-14 00:00:00+00:00,55.84894047619047,56.33339880952381,55.81317337714883
2018-10-21 00:00:00+00:00,55.762125,56.55730952380953,56.99308135908305
2018-10-28 00:00:00+00:00,58.684714285714286,57.687714285714286,57.986226830675164
2018-11-04 00:00:00+00:00,55.917589285714286,53.707708333333336,55.109668794080655
2018-11-11 00:00:00+00:00,58.163470238095236,59.21035714285715,58.24134746736607
2018-11-18 00:00:00+00:00,59.696083333333334,59.97938095238096,58.53656646846044
2018-11-25 00:00:00+00:00,61.55336309523809,60.69883333333333,61.15066935923865
2018-12-02 00:00:00+00:00,62.379154761904765,61.95860119047619,62.19923469195064
2018-12-09 00:00:00+00:00,62.32269047619047,63.12195833333334,60.45896702293007
2018-12-16 00:00:00+00:00,63.2435,62.71340476190476,62.41106839202481
2018-12-23 00:00:00+00:00,59.40855952380953,57.949869047619046,60.79096263177095
2018-12-30 00:00:00+00:00,49.075583333333334,48.223803571428576,53.63708991824536
2019-01-06 00:00:00+00:00,53.805875,54.85843452380953,53.69309391982554
2019-01-13 00:00:00+00:00,62.37220238095238,60.05204761904762,58.84199370491673
2019-01-20 00:00:00+00:00,62.423494047619045,61.868267857142854,62.42155367275216
2019-01-27 00:00:00+00:00,63.58701190476191,60.128232142857144,62.21541169349134
2019-02-03 00:00:00+00:00,62.088767857142855,60.81609523809524,61.55301626309588
2019-02-10 00:00:00+00:00,62.35953571428572,61.24415476190477,59.59439031944271
2019-02-17 00:00:00+00:00,60.79900595238095,60.73777380952381,59.85958273467223
2019-02-24 00:00:00+00:00,59.46751785714285,60.69296428571428,59.24678837066636
2019-03-03 00:00:00+00:00,58.48182142857143,63.44200595238095,58.468383895546836
2019-03-10 00:00:00+00:00,58.99095238095238,59.17857142857143,58.39381437638507
2019-03-17 00:00:00+00:00,60.07891071428572,60.88598809523809,59.193720927112764
2019-03-24 00:00:00+00:00,57.649363095238094,60.75360714285714,59.491109478319515
2019-03-31 00:00:00+00:00,56.77151190476191,55.40161904761904,55.206088445182445
2019-04-07 00:00:00+00:00,56.43385714285714,54.534148809523806,54.853530208305614
2019-04-14 00:00:00+00:00,56.765970238095235,56.09988095238096,55.87316691463888
2019-04-21 00:00:00+00:00,51.656261904761905,54.43427380952381,54.89919947666564
2019-04-28 00:00:00+00:00,52.33675,55.34271428571428,54.21790807055035
2019-05-05 00:00:00+00:00,53.123172619047615,52.81313690476191,53.171253736502244
2019-05-12 00:00:00+00:00,56.02357738095238,52.85682142857143,52.99387913027983
2019-05-19 00:00:00+00:00,55.28559523809524,55.369166666666665,55.131820420065566
2019-05-26 00:00:00+00:00,54.94535119047619,53.64008928571428,54.08538026528421
2019-06-02 00:00:00+00:00,51.30880357142857,53.98164880952381,55.3821762743258
2019-06-09 00:00:00+00:00,54.52816071428572,56.448547619047616,56.16327194284759
2019-06-16 00:00:00+00:00,52.28670833333334,55.91553571428572,56.17885750490124
2019-06-23 00:00:00+00:00,52.54121428571428,56.29283928571428,55.548388778916305
2019-06-30 00:00:00+00:00,55.955285714285715,55.683684523809525,55.34995336238711
2019-07-07 00:00:00+00:00,55.179630952380954,55.95719642857143,55.5816536814223
2019-07-14 00:00:00+00:00,53.908166666666666,53.87878571428572,54.33004074084713
2019-07-21 00:00:00+00:00,53.511964285714285,53.46576785714286,54.36199756553724
2019-07-28 00:00:00+00:00,54.20710119047619,55.10847619047619,55.46796246022548
2019-08-04 00:00:00+00:00,52.39210119047619,54.96707738095238,54.784661616040104
2019-08-11 00:00:00+00:00,52.01905357142857,54.29031547619047,53.4672008098768
2019-08-18 00:00:00+00:00,51.15523809523809,53.30570238095238,52.07787812907817
2019-08-25 00:00:00+00:00,51.83813095238095,54.650571428571425,53.839403154708926
2019-09-01 00:00:00+00:00,54.091970238095236,54.58705357142857,54.07064545159165
2019-09-08 00:00:00+00:00,52.44316071428572,54.906511904761906,54.59646791282671
2019-09-15 00:00:00+00:00,53.34848809523809,55.12004761904762,54.540595324879234
2019-09-22 00:00:00+00:00,53.22254761904762,56.60389285714285,56.76216045633018
2019-09-29 00:00:00+00:00,54.82947619047619,56.12404166666666,55.26388057892319
2019-10-06 00:00:00+00:00,52.33063095238096,54.287059523809525,54.66539036334258
2019-10-13 00:00:00+00:00,55.80170833333334,56.33339880952381,54.36931254364768
2019-10-20 00:00:00+00:00,56.13279166666666,56.55730952380953,55.617339609693
2019-10-27 00:00:00+00:00,56.484410714285715,57.687714285714286,58.074850834688974
2019-11-03 00:00:00+00:00,55.029630952380955,53.707708333333336,55.664487363283094
2019-11-10 00:00:00+00:00,58.15936309523809,59.21035714285715,57.753195343853044
2019-11-17 00:00:00+00:00,59.11223809523809,59.97938095238096,59.13606096535709
2019-11-24 00:00:00+00:00,59.73594047619047,60.69883333333333,59.61071251730545
2019-12-01 00:00:00+00:00,59.84283333333334,61.95860119047619,59.80023355438234
2019-12-08 00:00:00+00:00,61.05929761904762,63.12195833333334,60.037985198757205
2019-12-15 00:00:00+00:00,61.24219047619047,62.71340476190476,60.35115284067744
2019-12-22 00:00:00+00:00,56.83676785714285,57.949869047619046,59.270560497134205
2019-12-29 00:00:00+00:00,46.50530952380953,48.223803571428576,51.48029505241052
2020-01-05 00:00:00+00:00,50.161702380952384,54.85843452380953,52.68754960084095
2020-01-12 00:00:00+00:00,59.077595238095235,60.05204761904762,57.33717655343226
2020-01-19 00:00:00+00:00,60.36169642857143,61.868267857142854,59.437557318417475
2020-01-26 00:00:00+00:00,60.89373214285715,60.128232142857144,61.517714142876386
2020-02-02 00:00:00+00:00,60.83919642857143,60.81609523809524,59.6854007028661
2020-02-09 00:00:00+00:00,60.259839285714285,61.24415476190477,59.261256874660646
2020-02-16 00:00:00+00:00,60.845125,60.73777380952381,59.42238305962752
2020-02-23 00:00:00+00:00,59.787327380952384,60.69296428571428,59.252498158185865
2020-03-01 00:00:00+00:00,58.89913690476191,63.44200595238095,58.93131657489733
2020-03-08 00:00:00+00:00,58.688470238095235,59.17857142857143,59.95462494281297
2020-03-15 00:00:00+00:00,58.534238095238095,60.88598809523809,58.81398570561176
2020-03-22 00:00:00+00:00,55.372744047619044,60.75360714285714,58.121988576085705
2020-03-29 00:00:00+00:00,53.471982142857144,55.40161904761904,57.801070222228006
2020-04-05 00:00:00+00:00,52.84526785714286,54.534148809523806,55.69498099239057
2020-04-12 00:00:00+00:00,47.21088690476191,56.09988095238096,56.82908345831458
2020-04-19 00:00:00+00:00,47.41569642857143,54.43427380952381,53.3186919997832
2020-04-26 00:00:00+00:00,50.17241666666666,55.34271428571428,53.11242344572395
2020-05-03 00:00:00+00:00,48.161904761904765,52.81313690476191,53.075742022510696
2020-05-10 00:00:00+00:00,49.59077976190476,52.85682142857143,54.299991883862546
2020-05-17 00:00:00+00:00,50.92697619047619,55.369166666666665,54.42245392400999
2020-05-24 00:00:00+00:00,47.43964285714286,53.64008928571428,53.964898130563796
2020-05-31 00:00:00+00:00,49.52760714285714,53.98164880952381,53.332027650957826
2020-06-07 00:00:00+00:00,48.776244047619045,56.448547619047616,53.91104374953789
2020-06-14 00:00:00+00:00,48.219744047619045,55.91553571428572,53.35376544605594
2020-06-21 00:00:00+00:00,49.81394642857143,56.29283928571428,53.25151256910807
2020-06-28 00:00:00+00:00,50.48079166666666,55.683684523809525,54.58674065148642
2020-07-05 00:00:00+00:00,51.458875,55.95719642857143,54.212034738573564
2020-07-12 00:00:00+00:00,51.25257738095238,53.87878571428572,53.319200892705425
2020-07-19 00:00:00+00:00,50.896184523809524,53.46576785714286,53.084000439957045
2020-07-26 00:00:00+00:00,50.47573809523809,55.10847619047619,53.42168156005221
2020-08-02 00:00:00+00:00,50.049392857142855,54.96707738095238,52.911295595579034
2020-08-09 00:00:00+00:00,49.45092261904762,54.29031547619047,53.04377996689385
2020-08-16 00:00:00+00:00,52.07673809523809,53.30570238095238,53.667067101177985
2020-08-23 00:00:00+00:00,51.872059523809526,54.650571428571425,53.40819600649177
2020-08-30 00:00:00+00:00,51.653375,54.58705357142857,53.75035913820027
2020-09-06 00:00:00+00:00,51.61774404761905,54.906511904761906,53.288116819240926
2020-09-13 00:00:00+00:00,51.50763095238096,55.12004761904762,53.120262309609295
2020-09-20 00:00:00+00:00,52.18132738095238,56.60389285714285,53.348070243046664
2020-09-27 00:00:00+00:00,53.41193452380953,56.12404166666666,54.019585043882145
2020-10-04 00:00:00+00:00,57.41031944444445,54.287059523809525,53.397320813949754
