date,actual,seasonal_naive,sarima_complex,sarima_simple,complex_ci_lower,complex_ci_upper
2018-10-14 00:00:00+00:00,55.84894047619047,56.33339880952381,57.49105883056958,58.00873493816948,54.97094967067061,60.01116799046854
2018-10-21 00:00:00+00:00,55.762125,56.55730952380953,57.93747785480967,58.0764542569907,55.187351305222016,60.68760440439733
2018-10-28 00:00:00+00:00,58.684714285714286,57.687714285714286,57.730718688217166,58.363916999084495,54.97703029097536,60.484407085458976
2018-11-04 00:00:00+00:00,55.917589285714286,53.707708333333336,56.26020606301581,57.03172724655817,53.48810288059776,59.03230924543386
2018-11-11 00:00:00+00:00,58.163470238095236,59.21035714285715,60.74462267350663,60.86762220514113,57.95812467875161,63.53112066826166
2018-11-18 00:00:00+00:00,59.696083333333334,59.97938095238096,61.232501423268516,61.5345139234319,58.38352611188497,64.08147673465206
2018-11-25 00:00:00+00:00,61.55336309523809,60.69883333333333,61.61386629196238,61.92873714823308,58.76489098082182,64.46284160310294
2018-12-02 00:00:00+00:00,62.379154761904765,61.95860119047619,62.642883837576534,62.75848845902666,59.79390852801001,65.49185914714306
2018-12-09 00:00:00+00:00,62.32269047619047,63.12195833333334,63.23598411514793,63.155295663683475,60.38700880542847,66.08495942486739
2018-12-16 00:00:00+00:00,63.2435,62.71340476190476,62.27434618054053,61.95394944009932,59.425370870445796,65.12332149063528
2018-12-23 00:00:00+00:00,59.40855952380953,57.949869047619046,56.842444854464105,56.02130909527059,53.99346954855997,59.69142016036824
2018-12-30 00:00:00+00:00,49.075583333333334,48.223803571428576,49.47226526684797,49.75010069891377,46.623289969236396,52.32124056445954
2019-01-06 00:00:00+00:00,53.805875,54.85843452380953,57.696754644201036,58.71103614035865,54.84966058437207,60.543848704030005
2019-01-13 00:00:00+00:00,62.37220238095238,60.05204761904762,62.01606847800768,62.09490292554509,59.16871082471836,64.863426131297
2019-01-20 00:00:00+00:00,62.423494047619045,61.868267857142854,63.228173199464024,63.25917953011228,60.38052821320664,66.07581818572142
2019-01-27 00:00:00+00:00,63.58701190476191,60.128232142857144,62.06701392116284,62.40177621572864,59.21922415531741,64.91480368700826
2019-02-03 00:00:00+00:00,62.088767857142855,60.81609523809524,61.89702914538281,62.25050685332238,59.04982456971477,64.74423372105085
2019-02-10 00:00:00+00:00,62.35953571428572,61.24415476190477,62.13478321781768,62.18649238519986,59.296196190476984,64.97337024515838
2019-02-17 00:00:00+00:00,60.79900595238095,60.73777380952381,61.713287188665916,61.92574487415557,58.87470016202614,64.5518742153057
2019-02-24 00:00:00+00:00,59.46751785714285,60.69296428571428,61.4724857210175,61.716545941683684,58.63389869469455,64.31107274734045
2019-03-03 00:00:00+00:00,58.48182142857143,63.44200595238095,62.402219264839594,62.11048367470616,59.56363223817927,65.24080629149992
2019-03-10 00:00:00+00:00,58.99095238095238,59.17857142857143,60.15923672277889,60.490140353702984,57.32064969617112,62.99782374938667
2019-03-17 00:00:00+00:00,60.07891071428572,60.88598809523809,60.37030732169648,60.068371608426254,57.53172029542292,63.20889434797004
2019-03-24 00:00:00+00:00,57.649363095238094,60.75360714285714,59.67338622995875,59.13623684849525,56.834799203364916,62.51197325655259
2019-03-31 00:00:00+00:00,56.77151190476191,55.40161904761904,56.207466873753695,56.41300965687685,53.36887984710091,59.046053900406484
2019-04-07 00:00:00+00:00,56.43385714285714,54.534148809523806,55.84747222178125,56.15042215952592,53.008885195066746,58.68605924849576
2019-04-14 00:00:00+00:00,56.765970238095235,56.09988095238096,55.8927779529292,55.96835406922287,53.054190926155776,58.731364979702626
2019-04-21 00:00:00+00:00,51.656261904761905,54.43427380952381,55.354678667976614,55.67698539353498,52.51609164114146,58.19326569481177
2019-04-28 00:00:00+00:00,52.33675,55.34271428571428,56.343628861065746,56.38279704632479,53.50504183417166,59.182215887959835
2019-05-05 00:00:00+00:00,53.123172619047615,52.81313690476191,54.21224821018605,54.72161401693513,51.37366118323021,57.05083523714188
2019-05-12 00:00:00+00:00,56.02357738095238,52.85682142857143,54.50686664917646,54.86971750020726,51.6682796221617,57.34545367619122
2019-05-19 00:00:00+00:00,55.28559523809524,55.369166666666665,55.5687546241767,55.49815335412101,52.730167597100184,58.40734165125321
2019-05-26 00:00:00+00:00,54.94535119047619,53.64008928571428,53.691741399554296,53.810336759564436,50.853154372418835,56.530328426689756
2019-06-02 00:00:00+00:00,51.30880357142857,53.98164880952381,54.936909688377746,55.15728928547275,52.09832266118055,57.77549671557494
2019-06-09 00:00:00+00:00,54.52816071428572,56.448547619047616,55.807238172321405,55.81223134782509,52.968651145065266,58.645825199577544
2019-06-16 00:00:00+00:00,52.28670833333334,55.91553571428572,55.716964516480374,55.769140745482616,52.87837748916251,58.55555154379824
2019-06-23 00:00:00+00:00,52.54121428571428,56.29283928571428,56.73307221954998,56.73418465259409,53.89448519217318,59.571659246926785
2019-06-30 00:00:00+00:00,55.955285714285715,55.683684523809525,56.35164064897627,56.675244677688276,53.513053621537736,59.19022767641481
2019-07-07 00:00:00+00:00,55.179630952380954,55.95719642857143,56.53621723304772,56.763831136557585,53.697630205550254,59.37480426054519
2019-07-14 00:00:00+00:00,53.908166666666666,53.87878571428572,55.35126027674785,55.94766648705873,52.512673249188644,58.18984730430706
2019-07-21 00:00:00+00:00,53.511964285714285,53.46576785714286,55.07227884691352,55.76595123087364,52.23369181929538,57.91086587453166
2019-07-28 00:00:00+00:00,54.20710119047619,55.10847619047619,55.325774372184654,55.43212486595435,52.487187344504775,58.16436139986453
2019-08-04 00:00:00+00:00,52.39210119047619,54.96707738095238,55.08444588389337,55.16750531211566,52.245858856154555,57.92303291163219
2019-08-11 00:00:00+00:00,52.01905357142857,54.29031547619047,54.57645031902322,54.81216634163978,51.737863291222666,57.41503734682378
2019-08-18 00:00:00+00:00,51.15523809523809,53.30570238095238,54.025251423690385,54.36187269168591,51.18666439583089,56.86383845154988
2019-08-25 00:00:00+00:00,51.83813095238095,54.650571428571425,55.24985549547929,55.717902679670544,52.41126846755806,58.088442523400516
2019-09-01 00:00:00+00:00,54.091970238095236,54.58705357142857,55.26217686614745,55.72794514129238,52.42358983822089,58.10076389407401
2019-09-08 00:00:00+00:00,52.44316071428572,54.906511904761906,55.559071510884074,55.88085994349823,52.72048448281426,58.39765853895389
2019-09-15 00:00:00+00:00,53.34848809523809,55.12004761904762,56.0565107913345,56.43497070403103,53.21792376318204,58.89509781948696
2019-09-22 00:00:00+00:00,53.22254761904762,56.60389285714285,56.367225955190804,56.184996258673266,53.52863892703435,59.20581298334726
2019-09-29 00:00:00+00:00,54.82947619047619,56.12404166666666,56.60415825893417,56.74269753524161,53.765571230640276,59.442745287228064
2019-10-06 00:00:00+00:00,52.33063095238096,54.287059523809525,55.506821976037884,56.187437414310594,52.66823494752525,58.34540900455052
2019-10-13 00:00:00+00:00,55.80170833333334,56.33339880952381,58.331569710715925,58.889664076325346,55.230539007792096,61.432600413639754
2019-10-20 00:00:00+00:00,56.13279166666666,56.55730952380953,58.61861312757258,58.957383395146564,55.46576949997523,61.77145675516993
2019-10-27 00:00:00+00:00,56.484410714285715,57.687714285714286,58.774573236392925,59.24484613724036,55.62028588388139,61.92886058890446
2019-11-03 00:00:00+00:00,55.029630952380955,53.707708333333336,57.01489392436295,57.91265638471403,53.85496356030292,60.17482428842298
2019-11-10 00:00:00+00:00,58.15936309523809,59.21035714285715,61.40603411536019,61.748551343296995,58.24152449420514,64.57054373651525
2019-11-17 00:00:00+00:00,59.11223809523809,59.97938095238096,61.98857000969861,62.415443061587766,58.8159782178435,65.16116180155373
2019-11-24 00:00:00+00:00,59.73594047619047,60.69883333333333,62.36993487839246,62.80966628638894,59.197343086490605,65.54252667029432
2019-12-01 00:00:00+00:00,59.84283333333334,61.95860119047619,63.39895242400662,63.63941759718252,60.22636063402993,66.57154421398332
2019-12-08 00:00:00+00:00,61.05929761904762,63.12195833333334,63.99205270157802,64.03622480183934,60.81946091123598,67.16464449192006
2019-12-15 00:00:00+00:00,61.24219047619047,62.71340476190476,63.03041476697062,62.834878578255186,59.85782297588787,66.20300655805337
2019-12-22 00:00:00+00:00,56.83676785714285,57.949869047619046,57.598513440894195,56.90223823342645,54.425921654357595,60.771105227430795
2019-12-29 00:00:00+00:00,46.50530952380953,48.223803571428576,50.22833385327806,50.63102983706963,47.055742074636775,53.40092563191934
2020-01-05 00:00:00+00:00,50.161702380952384,54.85843452380953,58.452823230631125,59.591965278514515,55.282468558192996,61.623177903069255
2020-01-12 00:00:00+00:00,59.077595238095235,60.05204761904762,62.77213706443777,62.975832063700956,59.60134225981073,65.94293186906482
2020-01-19 00:00:00+00:00,60.36169642857143,61.868267857142854,63.98424178589412,64.14010866826814,60.812953009129174,67.15553056265907
2020-01-26 00:00:00+00:00,60.89373214285715,60.128232142857144,62.82308250759293,63.2827053538845,59.65157585247415,65.9945891627117
2020-02-02 00:00:00+00:00,60.83919642857143,60.81609523809524,62.6530977318129,63.13143599147824,59.48120709496676,65.82498836865904
2020-02-09 00:00:00+00:00,60.259839285714285,61.24415476190477,62.89085180424777,63.06742152335573,59.72455236358133,66.0571512449142
2020-02-16 00:00:00+00:00,60.845125,60.73777380952381,62.46935577509601,62.806674012311426,59.30305633535353,65.6356552148385
2020-02-23 00:00:00+00:00,59.787327380952384,60.69296428571428,62.22855430744759,62.59747507983954,59.062254868105896,65.39485374678928
2020-03-01 00:00:00+00:00,58.89913690476191,63.44200595238095,63.15828785126968,62.99141281286202,59.99198841143067,66.32458729110868
2020-03-08 00:00:00+00:00,58.688470238095235,59.17857142857143,60.91530530920899,61.37106949185885,57.74900586940867,64.0816047490093
2020-03-15 00:00:00+00:00,58.534238095238095,60.88598809523809,61.12637590812657,60.94930074658211,57.96007646874911,64.29267534750403
2020-03-22 00:00:00+00:00,55.372744047619044,60.75360714285714,60.42945481638884,60.017165986651115,57.26315537653925,63.59575425623843
2020-03-29 00:00:00+00:00,53.471982142857144,55.40161904761904,56.963535460183785,57.29393879503272,53.79723602021836,60.12983490014921
2020-04-05 00:00:00+00:00,52.84526785714286,54.534148809523806,56.60354080821135,57.03135129768179,53.43724136812805,59.76984024829465
2020-04-12 00:00:00+00:00,47.21088690476191,56.09988095238096,56.64884653935929,56.84928320737873,53.4825470991602,59.81514597955838
2020-04-19 00:00:00+00:00,47.41569642857143,54.43427380952381,56.110747254406704,56.55791453169084,52.94444781408972,59.27704669472369
2020-04-26 00:00:00+00:00,50.17241666666666,55.34271428571428,57.099697447495835,57.26372618448065,53.93339800706305,60.26599688792862
2020-05-03 00:00:00+00:00,48.161904761904765,52.81313690476191,54.968316796616136,55.60254315509099,51.80201735606544,58.13461623716683
2020-05-10 00:00:00+00:00,49.59077976190476,52.85682142857143,55.26293523560655,55.750646638363115,52.09663579494005,58.42923467627305
2020-05-17 00:00:00+00:00,50.92697619047619,55.369166666666665,56.32482321060679,56.37908249227687,53.158523769822374,59.4911226513912
2020-05-24 00:00:00+00:00,47.43964285714286,53.64008928571428,54.447809985984385,54.6912658977203,51.28151054508414,57.61410942688463
2020-05-31 00:00:00+00:00,49.52760714285714,53.98164880952381,55.692978274807835,56.038218423628614,52.5266788337897,58.85927771582597
2020-06-07 00:00:00+00:00,48.776244047619045,56.448547619047616,56.563306758751494,56.693160485980954,53.397007317617536,59.72960619988545
2020-06-14 00:00:00+00:00,48.219744047619045,55.91553571428572,56.473033102910456,56.65006988363848,53.30673366165861,59.6393325441623
2020-06-21 00:00:00+00:00,49.81394642857143,56.29283928571428,57.48914080598007,57.61511379074996,54.3228413646124,60.65544024734774
2020-06-28 00:00:00+00:00,50.48079166666666,55.683684523809525,57.107709235406354,57.55617381584414,53.941409793920805,60.2740086768919
2020-07-05 00:00:00+00:00,51.458875,55.95719642857143,57.29228581947781,57.64476027471345,54.12598637787645,60.45858526107917
2020-07-12 00:00:00+00:00,51.25257738095238,53.87878571428572,56.10732886317794,56.828595625214604,52.94102942145868,59.2736283048972
2020-07-19 00:00:00+00:00,50.896184523809524,53.46576785714286,55.82834743334361,56.6468803690295,52.66204799150854,58.99464687517868
2020-07-26 00:00:00+00:00,50.47573809523809,55.10847619047619,56.08184295861474,56.313054004110214,52.91554351666177,59.248142400567716
2020-08-02 00:00:00+00:00,50.049392857142855,54.96707738095238,55.84051447032346,56.048434450271515,52.67421502825468,59.006813912392246
2020-08-09 00:00:00+00:00,49.45092261904762,54.29031547619047,55.332518905453306,55.693095479795645,52.16621946326662,58.49881834763999
2020-08-16 00:00:00+00:00,52.07673809523809,53.30570238095238,54.781320010120474,55.24280182984177,51.615020567817965,57.947619452422984
2020-08-23 00:00:00+00:00,51.872059523809526,54.650571428571425,56.00592408190937,56.598831817826415,52.839624639488974,59.172223524329766
2020-08-30 00:00:00+00:00,51.653375,54.58705357142857,56.01824545257754,56.60887427944824,52.85194601011478,59.1845448950403
2020-09-06 00:00:00+00:00,51.61774404761905,54.906511904761906,56.31514009731416,56.76178908165409,53.14884065462181,59.48143954000652
2020-09-13 00:00:00+00:00,51.50763095238096,55.12004761904762,56.81257937776459,57.31589984218689,53.646279934923946,59.97887882060524
2020-09-20 00:00:00+00:00,52.18132738095238,56.60389285714285,57.12329454162089,57.06592539682913,53.956995098741466,60.28959398450032
2020-09-27 00:00:00+00:00,53.41193452380953,56.12404166666666,57.36022684536426,57.623626673397474,54.19392740226145,60.52652628846707
2020-10-04 00:00:00+00:00,57.41031944444445,54.287059523809525,56.26289056246797,57.06836655246645,53.096591119032155,59.42919000590379
