p,d,q,aic,delta_aic,n_params
3,1,6,303.3630793537061,0.0,9
0,1,6,303.37063657952257,0.007557225816469781,6
2,0,6,304.1873574296575,0.8242780759513835,8
5,0,6,304.88086245252,1.5177830988138794,11
5,1,6,304.93320231894035,1.5701229652342477,11
4,0,6,305.29961820415946,1.9365388504533598,10
0,0,6,305.6748791531031,2.311799799397022,6
2,1,6,306.67045168584934,3.3073723321432453,8
1,0,6,307.6749936267835,4.311914273077377,7
3,0,6,308.0275971407817,4.664517787075624,9
4,1,6,308.08739817081363,4.72431881710753,10
1,1,6,308.17633386059293,4.813254506886835,7
5,1,5,308.54360711724433,5.180527763538237,10
0,0,5,309.13648646372616,5.7734071100200595,5
2,1,5,309.48526906155536,6.122189707849259,7
1,1,5,309.62636401663707,6.263284662930971,6
1,2,6,309.9012989763044,6.538219622598319,7
4,1,5,309.9314829995852,6.56840364587913,9
6,0,1,310.52613846026685,7.163059106560752,7
3,0,5,310.5791457977978,7.216066444091723,8
6,0,6,310.67096602345066,7.307886669744562,12
3,2,6,310.8585593987792,7.495480045073123,9
4,0,5,310.8729770356284,7.509897681922325,9
1,0,5,311.1231896114784,7.760110257772283,6
5,0,1,311.25420645857383,7.891127104867735,6
4,2,6,312.26210363024205,8.899024276535954,10
6,0,0,312.38051245532137,9.017433101615268,6
6,1,2,312.4368525707482,9.073773217042117,8
6,0,2,312.62895642354374,9.265877069837643,8
6,1,6,312.6758841342961,9.31280478059,12
6,1,3,312.714622879793,9.351543526086914,9
2,0,5,313.07012257349163,9.707043219785533,7
5,0,2,313.10258951301023,9.739510159304132,7
5,0,0,313.3239440468968,9.960864693190729,5
3,1,5,313.42298308118654,10.059903727480446,8
0,2,6,313.5081225238974,10.145043170191286,6
2,2,6,313.5577431923699,10.194663838663814,8
5,1,2,313.6391168891934,10.276037535487319,7
5,1,3,313.71390514689324,10.350825793187141,8
0,1,5,313.7809117386404,10.417832384934286,5
3,2,5,313.86780070224296,10.504721348536862,8
4,1,2,313.87975567390106,10.51667632019496,6
6,1,1,313.96374372827603,10.60066437456993,7
0,0,4,314.1355745724816,10.772495218775475,4
2,0,4,314.2200275648154,10.856948211109284,6
6,0,3,314.3012005581237,10.938121204417598,9
6,1,4,314.48124176556587,11.118162411859771,10
2,2,5,314.64580072396734,11.282721370261243,7
0,2,5,314.8546487216764,11.491569367970328,5
5,0,3,314.9519443007173,11.588864947011189,8
2,1,3,315.1224710703068,11.759391716600703,5
5,1,1,315.3633264142255,12.000247060519428,6
0,1,4,315.5751224709676,12.212043117261487,4
6,1,5,315.58364292309363,12.220563569387537,11
1,0,4,315.6350312245974,12.271951870891314,5
5,1,4,316.0693090474552,12.706229693749094,9
5,0,5,316.0789756498606,12.715896296154483,10
5,2,3,316.1022221469805,12.739142793274425,8
6,0,4,316.2937968273276,12.930717473621485,10
5,0,4,316.8592504182782,13.496171064572081,9
1,2,5,316.86454832342446,13.50146896971836,6
6,0,5,316.9788207198616,13.615741366155476,11
4,0,4,317.08330862309924,13.720229269393144,8
2,1,4,317.31151766458447,13.948438310878373,6
5,2,6,317.3253018604516,13.96222250674549,11
6,2,3,317.3433822656391,13.980302911932995,9
4,1,4,317.3731962489197,14.010116895213628,8
1,1,4,317.473487112944,14.110407759237887,5
6,2,6,317.5688520076838,14.205772653977704,12
3,0,4,317.6851896592658,14.322110305559704,7
2,2,4,317.82623895904567,14.46315960533957,6
0,2,4,317.94386231229544,14.580782958589339,4
0,1,3,317.95583939790106,14.59276004419496,3
0,0,3,318.1124926723849,14.749413318678819,3
4,0,0,318.1641208424971,14.801041488790986,4
3,2,4,318.2285169563275,14.865437602621398,7
3,1,4,318.3079275668202,14.944848213114085,7
2,0,3,318.9580948462012,15.595015492495122,5
5,2,4,319.0241011827392,15.661021829033075,9
4,1,1,319.07205794022684,15.708978586520743,5
0,2,3,319.26031126119966,15.897231907493563,3
4,0,1,319.7058130472826,16.34273369357652,5
1,1,3,319.8985602894659,16.53548093575978,4
1,2,4,319.9192813990195,16.5562020453134,5
3,1,3,319.9562615999764,16.593182246270317,6
0,0,2,320.0267732463655,16.66369389265941,2
1,0,3,320.09082538791034,16.727746034204245,4
0,1,2,320.1811634528211,16.818084099115026,2
4,2,5,320.3537866098113,16.990707256105225,9
4,0,2,320.8718526029172,17.508773249211117,6
3,0,3,320.9622579590253,17.599178605319196,6
1,2,3,321.48306506409426,18.119985710388164,4
3,0,0,321.5776982504259,18.2146188967198,3
0,0,1,321.7407592437276,18.37767989002151,1
3,0,2,321.7670608168443,18.403981463138223,5
4,1,3,321.9096909930554,18.546611639349294,7
1,0,2,321.9905692281673,18.62748987446122,3
1,1,2,322.1047790918882,18.741699738182092,3
4,0,3,322.2223644168928,18.85928506318669,7
3,0,1,322.8759291586846,19.512849804978487,4
2,2,3,323.1337176145768,19.770638260870726,5
1,1,1,323.4672821523,20.104202798593917,2
2,0,2,323.556393181727,20.193313828020905,4
6,1,0,323.6034693077365,20.240389954030377,6
1,0,1,323.733300131772,20.370220778065914,2
3,1,1,323.7722719598624,20.409192606156296,4
2,1,2,323.9605243339473,20.59744498024122,4
2,0,0,324.0357003728193,20.672621019113194,2
5,1,0,325.09079874733976,21.727719393633663,5
1,2,2,325.1168919677517,21.753812614045614,3
3,1,2,325.12428813925186,21.76120878554576,5
6,2,2,325.2053420587378,21.842262705031715,8
6,2,1,325.20900936875194,21.845930015045838,7
2,1,1,325.3612548678095,21.998175514103423,3
1,0,0,325.4679764952521,22.10489714154602,1
2,0,1,325.93039166609856,22.56731231239246,3
2,2,2,326.9012541450019,23.538174791295774,4
5,2,1,328.1213266604788,24.758247306772716,6
0,1,1,328.7365093206376,25.373429966931496,1
6,2,5,330.1618654759991,26.798786122292995,11
0,2,2,331.9687062876054,28.605626933899316,2
4,1,0,332.7416488011944,29.378569447488303,4
0,0,0,333.1033275626628,29.7402482089567,0
5,2,5,333.8936501314834,30.530570777777314,10
3,2,3,334.0173545576561,30.65427520395002,6
4,2,4,334.2891315849189,30.926052231212793,8
6,2,4,334.2899827982224,30.926903444516313,10
4,2,1,334.9334228931652,31.57034353945909,5
4,2,2,334.9607383115565,31.5976589578504,6
5,2,2,335.26997840640337,31.90689905269727,7
3,1,0,336.0372846924246,32.67420533871848,3
2,1,0,336.96118047414944,33.598101120443346,2
4,2,3,337.43553675561526,34.07245740190916,7
3,2,2,338.2088685771602,34.84578922345412,5
3,2,1,339.16012078131496,35.79704142760886,4
2,2,1,340.85035649609,37.4872771423839,3
6,2,0,345.98975693294,42.6266775792339,6
1,1,0,347.49730119032665,44.134221836620554,1
1,2,1,347.5927301340192,44.22965078031308,2
5,2,0,349.3769363695492,46.01385701584309,5
0,2,1,355.44859222354177,52.08551286983567,1
0,1,0,355.66763880595124,52.304559452245144,0
4,2,0,360.9522251346029,57.589145780896786,4
3,2,0,365.2893636067565,61.926284253050426,3
2,2,0,376.6426003673729,73.2795210136668,2
1,2,0,407.84424104063567,104.48116168692957,1
0,2,0,439.9977933202775,136.63471396657138,0
